5796	F	Linette Geisel
57	F	Ophelia Darcy
5802	M	Christopher Maust
5808	M	jeandelfrio
5809	F	kattekliek
580	M	Ryan
5810	M	Patrick Reinhart
581	M	C. Berrius
5825	F	Vira Denton
5826	M	Phineas Redux
5831	F	Kirsty Leishman
5837	F	Debbie Pieterse
583	M	Russ Maxwell
5840	M	Dick Summerfield
584	F	miette
5854	M	Gabriel Glenn
585	F	pheo
5860	F	J L Raimundo
5867	F	Sharon Omi
5874	M	Paul Andrews
5876	F	kelleywyskiel
587	F	Joy Scaglione
5886	M	Simon Brown
5890	F	GabrielleC
5893	F	Elizabeth Fiedler
5894	M	Paul Stephens
589	F	Stephanie Konig
58	M	George Coutts
5906	F	Lily-LLM
5909	M	Mark Mickelson
5910	M	Anthony Lee
5911	M	Paul C. Newman
5913	M	dmbrought
5914	M	bobbybrill
5929	F	Gryphon Perkins
5933	M	Barry O'Neill
5935	M	Mike Okonek
593	M	Eric S. Piotrowski
5940	M	Gargoyle
5949	F	debolee
594	M	KentF
5951	M	Stevan Simmons
5952	F	sherlock85
5968	F	Cate Barratt
5970	M	Larry Degala
5975	M	Tony Maxey
5977	M	Ken Felt
5979	M	Pentti Hirvonen
597	F	Lisa Chau
5980	F	Nichole Thompson
5983	F	Katew
598	F	Kim
5993	M	garyday
6000	F	MissRose
6003	M	sparks0314
6006	F	Stephanie Lee
6009	M	AVG
6010	M	Ralph Kerwin
6014	F	Tina Nuzzi
6019	M	DerekP
6025	F	Lonelle Yoder
6030	F	Shiromi
6035	M	Marty Kris
6051	M	Ric Cornwall
6060	M	Jonathan Lange
6064	F	Deborah Knight
6065	M	David Olson
6072	F	CrowGirl
6076	M	Saethram
6077	M	Steve Belleguelle
6078	F	dobsonfly
6080	M	progressingamerica
6081	M	Lazuli
6084	M	Amallen
6087	F	Caroline Driggs
6088	F	burk
608	F	Baranduin
6098	M	Kancamagus
6099	F	Cheri Gardner
60	M	CBW Simon
