7959	F	Lily Took
7962	F	Jolie O'Dell
7967	F	Lois Hill
797	M	Mike Shapiro
7981	M	timothyFR
7988	M	JaySands
7997	M	Tom Merritt
8005	F	Julia Wells
8006	M	TyroneS
8008	M	Paul Adamson
8009	F	Frances Brown
8012	F	WoollyBee
8014	F	constatine
8015	F	Underhill
8023	M	JamesMcAndrew
8033	M	geoffbl
803	M	Greg Elmensdorp
8040	F	NatalieOram
8042	M	Jack Watson Warr
8044	F	Sarah Hannah
8057	F	Linda Dougherty
8058	M	RLC
8063	M	Robert Snoza
8066	M	Tim Cote
8071	F	Vanessa Garcia
8072	F	Kimberly Krause
8075	F	Melora
807	M	Luke Venediger
8080	F	e.a.zokaites
8087	M	Arnie Horton
8088	M	Jason Bolestridge
8095	M	Theodulf
8097	F	lewildesen
8098	M	Arnold
8108	M	drakaunus
810	M	Joseph Loverti
8112	F	Christine Lamberton
8118	F	Katie McClain
8119	M	Malcolm Cameron
811	F	Elizabeth
8123	F	Sheila Wood
8138	M	Lee Smalley
8143	M	Nick Whitley
8148	F	Xiph
8152	M	Bigcowfeet
8156	F	Brooke Cunningham
815	M	mawrtea
8163	F	Greengecko
8164	M	Rob Board
8168	F	Kiera Davidson
8169	M	tovarisch
816	M	Jeff Robinson
8172	M	Alan Weyman
8176	M	Jon Kerfoot
8180	F	Elanor Sakamoto
8183	F	Cheri Jordan
8190	F	Lisa Phelps Gonzalez
8193	F	helengraves
8194	F	MsMO
8195	M	Mr Krause
8197	F	Victoria P
8199	F	maryagneskatherine
81	M	Aaron Decker
8200	M	Dan S
8208	M	zaanta
820	M	Scoot
8215	M	readread
8222	M	Greg Golding
8225	M	Matt Lusher
8226	M	Adam Picot
8228	F	hgal2010
8238	F	Madam Fickle
8240	F	Gertrude Durette
8242	F	Anita Slusser
8245	M	gscheids
8246	M	beeveeo
8250	M	Stephen Gibbons
8259	F	Lawrence
8262	M	Jack Powell
8266	M	Jeff K.
